INFO:root:Number of parameters: 369498
INFO:root:093: Acc-tr:  99.93, Acc-val:  10.39, L-tr: 0.0074, L-val: 8.4226
INFO:root:094: Acc-tr:  99.92, Acc-val:   9.97, L-tr: 0.0074, L-val: 8.4685
INFO:root:095: Acc-tr:  99.08, Acc-val:  10.18, L-tr: 0.0326, L-val: 8.7475
INFO:root:096: Acc-tr:  99.74, Acc-val:  10.01, L-tr: 0.0134, L-val: 8.6648
INFO:root:097: Acc-tr:  99.89, Acc-val:  10.34, L-tr: 0.0081, L-val: 8.4338
INFO:root:098: Acc-tr:  99.91, Acc-val:  10.16, L-tr: 0.0073, L-val: 8.5966
INFO:root:099: Acc-tr:  99.80, Acc-val:  10.20, L-tr: 0.0103, L-val: 8.7696
INFO:root:100: Acc-tr:  99.83, Acc-val:   9.84, L-tr: 0.0090, L-val: 8.6807
INFO:root:101: Acc-tr:  99.93, Acc-val:  10.02, L-tr: 0.0068, L-val: 8.6855
INFO:root:102: Acc-tr:  99.98, Acc-val:  10.15, L-tr: 0.0040, L-val: 8.7069
INFO:root:103: Acc-tr:  99.94, Acc-val:  10.44, L-tr: 0.0058, L-val: 8.7695
INFO:root:104: Acc-tr:  99.96, Acc-val:  10.17, L-tr: 0.0038, L-val: 8.6811
INFO:root:105: Acc-tr:  99.96, Acc-val:  10.36, L-tr: 0.0038, L-val: 8.8404
INFO:root:106: Acc-tr:  99.99, Acc-val:  10.29, L-tr: 0.0029, L-val: 8.7377
INFO:root:107: Acc-tr:  99.98, Acc-val:  10.27, L-tr: 0.0034, L-val: 8.7846
INFO:root:108: Acc-tr:  99.98, Acc-val:  10.22, L-tr: 0.0031, L-val: 8.8080
INFO:root:109: Acc-tr:  99.94, Acc-val:  10.40, L-tr: 0.0047, L-val: 8.8740
INFO:root:110: Acc-tr:  99.99, Acc-val:  10.30, L-tr: 0.0020, L-val: 8.7142
INFO:root:111: Acc-tr:  99.99, Acc-val:  10.52, L-tr: 0.0027, L-val: 8.7877
INFO:root:112: Acc-tr: 100.00, Acc-val:  10.03, L-tr: 0.0015, L-val: 8.8185
INFO:root:113: Acc-tr: 100.00, Acc-val:  10.36, L-tr: 0.0018, L-val: 8.8631
INFO:root:114: Acc-tr: 100.00, Acc-val:  10.23, L-tr: 0.0012, L-val: 8.8819
INFO:root:115: Acc-tr: 100.00, Acc-val:  10.19, L-tr: 0.0008, L-val: 8.9009
INFO:root:116: Acc-tr:  99.99, Acc-val:  10.50, L-tr: 0.0020, L-val: 8.8598
INFO:root:117: Acc-tr: 100.00, Acc-val:  10.53, L-tr: 0.0015, L-val: 8.8719
INFO:root:118: Acc-tr: 100.00, Acc-val:  10.59, L-tr: 0.0012, L-val: 8.7727
INFO:root:119: Acc-tr:  99.99, Acc-val:  10.65, L-tr: 0.0022, L-val: 8.8974
INFO:root:120: Acc-tr: 100.00, Acc-val:  10.60, L-tr: 0.0009, L-val: 8.8764
INFO:root:121: Acc-tr: 100.00, Acc-val:   9.87, L-tr: 0.0014, L-val: 8.8812
INFO:root:122: Acc-tr: 100.00, Acc-val:  10.53, L-tr: 0.0010, L-val: 8.9165
INFO:root:123: Acc-tr: 100.00, Acc-val:  10.07, L-tr: 0.0009, L-val: 8.8693
INFO:root:124: Acc-tr: 100.00, Acc-val:  10.34, L-tr: 0.0007, L-val: 8.8282
INFO:root:125: Acc-tr: 100.00, Acc-val:  10.43, L-tr: 0.0006, L-val: 8.8544
INFO:root:126: Acc-tr: 100.00, Acc-val:  10.40, L-tr: 0.0006, L-val: 8.9786
INFO:root:127: Acc-tr: 100.00, Acc-val:  10.15, L-tr: 0.0007, L-val: 8.8512
INFO:root:128: Acc-tr: 100.00, Acc-val:  10.51, L-tr: 0.0008, L-val: 8.8686
INFO:root:129: Acc-tr: 100.00, Acc-val:  10.16, L-tr: 0.0012, L-val: 8.9266
INFO:root:130: Acc-tr: 100.00, Acc-val:  10.24, L-tr: 0.0008, L-val: 8.9148
INFO:root:131: Acc-tr: 100.00, Acc-val:  10.24, L-tr: 0.0007, L-val: 8.8782
INFO:root:132: Acc-tr: 100.00, Acc-val:  10.04, L-tr: 0.0007, L-val: 8.8298
INFO:root:133: Acc-tr: 100.00, Acc-val:   9.98, L-tr: 0.0007, L-val: 8.8727
INFO:root:134: Acc-tr: 100.00, Acc-val:  10.34, L-tr: 0.0005, L-val: 8.8630
INFO:root:135: Acc-tr: 100.00, Acc-val:  10.14, L-tr: 0.0004, L-val: 8.8291
INFO:root:136: Acc-tr: 100.00, Acc-val:   9.93, L-tr: 0.0005, L-val: 8.8644
INFO:root:137: Acc-tr: 100.00, Acc-val:  10.36, L-tr: 0.0005, L-val: 8.8196
INFO:root:138: Acc-tr: 100.00, Acc-val:  10.28, L-tr: 0.0005, L-val: 8.8105
INFO:root:139: Acc-tr: 100.00, Acc-val:  10.25, L-tr: 0.0007, L-val: 8.9386
INFO:root:140: Acc-tr: 100.00, Acc-val:  10.10, L-tr: 0.0004, L-val: 8.8417
INFO:root:141: Acc-tr: 100.00, Acc-val:  10.19, L-tr: 0.0004, L-val: 8.8704
INFO:root:142: Acc-tr: 100.00, Acc-val:  10.41, L-tr: 0.0005, L-val: 8.8742
INFO:root:143: Acc-tr: 100.00, Acc-val:  10.34, L-tr: 0.0004, L-val: 8.8505
INFO:root:144: Acc-tr: 100.00, Acc-val:  10.64, L-tr: 0.0004, L-val: 8.8141
INFO:root:145: Acc-tr: 100.00, Acc-val:  10.48, L-tr: 0.0004, L-val: 8.8458
INFO:root:146: Acc-tr: 100.00, Acc-val:  10.26, L-tr: 0.0005, L-val: 8.8512
INFO:root:147: Acc-tr: 100.00, Acc-val:  10.48, L-tr: 0.0003, L-val: 8.8112
INFO:root:148: Acc-tr: 100.00, Acc-val:  10.56, L-tr: 0.0004, L-val: 8.8402
INFO:root:149: Acc-tr: 100.00, Acc-val:  10.20, L-tr: 0.0008, L-val: 8.9072
INFO:root:150: Acc-tr: 100.00, Acc-val:  10.37, L-tr: 0.0004, L-val: 8.7631
INFO:root:151: Acc-tr: 100.00, Acc-val:  10.25, L-tr: 0.0004, L-val: 8.9074
INFO:root:152: Acc-tr: 100.00, Acc-val:  10.17, L-tr: 0.0004, L-val: 8.8764
INFO:root:153: Acc-tr: 100.00, Acc-val:  10.14, L-tr: 0.0003, L-val: 8.8245
INFO:root:154: Acc-tr: 100.00, Acc-val:  10.38, L-tr: 0.0003, L-val: 8.8310
INFO:root:155: Acc-tr: 100.00, Acc-val:  10.43, L-tr: 0.0004, L-val: 8.7174
INFO:root:156: Acc-tr: 100.00, Acc-val:  10.56, L-tr: 0.0003, L-val: 8.7704
INFO:root:157: Acc-tr: 100.00, Acc-val:  10.22, L-tr: 0.0004, L-val: 8.7694
INFO:root:158: Acc-tr: 100.00, Acc-val:  10.35, L-tr: 0.0004, L-val: 8.8053
INFO:root:159: Acc-tr: 100.00, Acc-val:  10.45, L-tr: 0.0003, L-val: 8.7897
INFO:root:160: Acc-tr: 100.00, Acc-val:  10.48, L-tr: 0.0003, L-val: 8.8044
INFO:root:161: Acc-tr: 100.00, Acc-val:  10.37, L-tr: 0.0003, L-val: 8.8016
INFO:root:162: Acc-tr: 100.00, Acc-val:  10.39, L-tr: 0.0003, L-val: 8.7656
INFO:root:163: Acc-tr: 100.00, Acc-val:  10.25, L-tr: 0.0003, L-val: 8.7641
INFO:root:164: Acc-tr: 100.00, Acc-val:  10.37, L-tr: 0.0003, L-val: 8.8035
INFO:root:165: Acc-tr: 100.00, Acc-val:  10.32, L-tr: 0.0003, L-val: 8.7949
INFO:root:166: Acc-tr: 100.00, Acc-val:  10.47, L-tr: 0.0003, L-val: 8.7906
INFO:root:167: Acc-tr: 100.00, Acc-val:  10.49, L-tr: 0.0004, L-val: 8.7370
INFO:root:168: Acc-tr: 100.00, Acc-val:  10.37, L-tr: 0.0003, L-val: 8.7311
INFO:root:169: Acc-tr: 100.00, Acc-val:  10.52, L-tr: 0.0003, L-val: 8.7259
INFO:root:170: Acc-tr: 100.00, Acc-val:  10.29, L-tr: 0.0003, L-val: 8.7498
INFO:root:171: Acc-tr: 100.00, Acc-val:  10.35, L-tr: 0.0003, L-val: 8.6902
INFO:root:172: Acc-tr: 100.00, Acc-val:  10.40, L-tr: 0.0003, L-val: 8.7510
INFO:root:173: Acc-tr: 100.00, Acc-val:  10.13, L-tr: 0.0003, L-val: 8.7629
INFO:root:174: Acc-tr: 100.00, Acc-val:  10.40, L-tr: 0.0003, L-val: 8.7488
INFO:root:175: Acc-tr: 100.00, Acc-val:  10.37, L-tr: 0.0002, L-val: 8.7391
INFO:root:176: Acc-tr: 100.00, Acc-val:  10.41, L-tr: 0.0002, L-val: 8.7520
INFO:root:177: Acc-tr: 100.00, Acc-val:  10.42, L-tr: 0.0002, L-val: 8.7578
